Company,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,President,Director of Acquisitions,Head of Corporate Development,Director of Asset Management,Head of Investor Relations,Chairman of the Board,VP/Head of Exploration,Chief Geologist
0373849 BC Ltd,,Owen Davies,,,,,,,,,
0694758 B.C. Ltd.,Joseph Grosso,Darren C. Urquhart,,Joseph Grosso,,Nikolaos Cacos,,,Joseph Grosso,Brian McEwen,
0876785 B.C. Ltd.,,,,,,,,,,,
0877148 BC Ltd.,,,,,,,,,,,
0976408 B.C. Ltd.,,,,,,,,,,,
1-Page Limited,,Scott Mison,,,,,,,,,
2404027 Ontario Inc.,,,,George N. Mannard,,,,,,,
37 Capital Inc.,,,,,,,,,,,
3D Resources Limited,Peter Robert Mitchell,Andrew John Draffin,Peter Robert Mitchell,,,,,,Ian Hastings,,
"3DX Industries, Inc.",Roger Janssen,Roger Janssen,,Roger Janssen,,,,,,,
49 North Resources Inc.,Tom M. MacNeill,Andrew B. Davidson,,Tom M. MacNeill,,Dean Nawata,,,Tom M. MacNeill,,
4DS Memory Limited,,Peter Webse,,,,,,,,,
888 Resources Ltd.,,,,,,,,,Ian Charles Fisher,,
92 Resources Corp.,Adrian Lamoureux,Du?an Berka,,Adrian Lamoureux,,,,,,,
Aard Metals Ltd.,,,,,,,,,,,
Abacus Mining and Exploration Corporation,Michael D. McInnis,Jeannine P. M. Webb,,Michael D. McInnis,,,,,Michael D. McInnis,,
Abcourt Mines Inc.,Renaud Hinse,Marc Filion,,Renaud Hinse,,,,,,,
ABE Resources Inc.,Yves J. Rougerie,Nancy Lacoursière,,Yves J. Rougerie,,,,,Yves J. Rougerie,,
Abednego Nickel Ltd. (Glencore),,,,,,,,,,,
Abelle Limited,,,,,,,,,Zacharias Bernardus Swanepoel,,
Aben Resources Ltd.,James G. Pettit,Donald C. Huston,,James G. Pettit,,,,,Ronald K. Netolitzky,Cornell McDowell,
Aberdeen International Inc.,Stan Bharti,Ryan Ptolemy,,Stan Bharti,,,,,Stan Bharti,,
Aberfoyle Resources Ltd.,,,,,,,,,,,
Abington Resources Ltd.,Barry Underhill,Zenaida Manalo,,Barry Underhill,,,,,,,
Abitibi Mining Corp.,Richard W. Hughes,Alan D. Campbell,,Richard W. Hughes,,,,,Richard W. Hughes,,
Abitibi Royalties Inc.,Ian J. Ball,Daniel Poisson,,Ian J. Ball,,,,,Glenn J. Mullan,,
ABM Resources NL,Matthew Briggs,Jutta Zimmermann,,,,,,,Thomas David McKeith,Neil Jones,Alwin van Roij
Abra Mining and Industrial Corporation,Jeremias B. Beloy,Amelia G. Beloy,Armando L. Javilinar,Jeremias B. Beloy,,,,,Jeremias B. Beloy,,
Abra Mining Pty Limited,,,,,,,,,,,
AbraPlata Resource Corp.,Willem Fuchter,Zula Kropivnitski,,Willem Fuchter,,,,,Hernán Zaballa,,
Absolut Resources Corp,,Wayne Acton,,,,,,,,,
Abzu Gold Limited,Jarrad Ross Savage,Hilario G. Tan,,Jarrad Ross Savage,,,,,,,
AC Energy Ltd.,,,,,,,,,,,
Acacia Coal Limited,Hugh Callaghan,Robert Scott,PCCH Snyders,,,,,,Adam James Santa Maria,,
Acacia Mining plc,Bradley A. Gordon,Andrew Wray,Mark Morcombe,,,,,,Kelvin P. M. Dushnisky,Peter Spora,
Acacia Resources Ltd.,,,,,,,,,,,
Acadian Mining Corporation,,Stacey Stone,,,,,,,,,
A-Cap Resources Limited,Paul William Thomson,Nicholas Yeak,Ashley Jones,,,,,,Angang Shen,,
Accent Resources N.L.,Yuzi Zhou,,,,,,,,Yuzi Zhou,,
Ackroo Inc.,Steve Levely,Derek Schaaf,,,,,,,,,
Acme Resources Inc.,,,,,,,,,,,
ActivEX Limited,Grant Thomas,,,,,,,,Min Yang,Juli J. Hugenholtz,Xusheng Ke
Adamera Minerals Corp.,Mark R. Kolebaba,Mark T. Brown,,Mark R. Kolebaba,,,,,Yale R. Simpson,,
Adamus Resources Pty Limited,,,,,,,,,,,
Adanac Molybdenum Corporation,Leonard J. Sojka,Alicia D. Marshall,,Leonard J. Sojka,,Daniel R. Koyich,,,,,
Adani Enterprises Limited,Rajesh S. Adani,Ameet H. Desai,,,,,,,Gautam S. Adani,,
Adastra Minerals Inc.,,,,,,,,,,,
Adavale Resources Limited,Haryono Eddyarto,Leanne Ralph,,,,,,,Haryono Eddyarto,,
Add New Energy Investment Holdings Group Limited,Guohua Geng,Wing Ki Chan,,,,,,,Yunde Li,,
Addwest Minerals International Ltd,,,,,,,,,,,
Adelphi Energy Ltd.,,,,,,,,,,,
